generation,engine,start_of_production,body_type,acceleration_0-62mph,maximum_speed,power_per_litre,engine_displacement,cylinder_bore,piston_stroke,kerb_weight,fuel_tank_capacity,length,width,height,wheelbase,drive_wheel,compression_ratio,engine_oil_capacity,front_track,rear_track,drag_coefficient,WeighttoPower_kgperhp,WeighttoPower_hppertonne,weighttotorque_kgpernm,weighttotorque_nmpertonne,Power_HP,Power_RPM,torque_NM,torque_RPM
911 Dakar (992),3.0 (480 Hp) AWD PDK,2022,"Off-road vehicle, Coupe ",3.4,240,161,2981,91,76.4,1605,67,4530,1864,1338,2450,All wheel drive (4x4),,,,,,3.3,299.1,2.8,355.1,480,6500,570,3650
911 Targa (992),4S 3.0 (450 Hp) PDK,2020,Targa,3.8,304,151,2981,91,76.4,1675,67,4519,1852,1299,2450,All wheel drive (4x4),10.2,8.3,1589,1557,0.3,3.7,268.7,3.2,316.4,450,6500,530,3650
911 Targa (992),4S 3.0 (450 Hp),2020,Targa,4.4,304,151,2981,91,76.4,1640,67,4519,1852,1301,2450,All wheel drive (4x4),10.2,8.3,1589,1557,0.3,3.6,274.4,3.1,323.2,450,6500,530,3650
911 Targa (992),4 GTS 3.0 (480 Hp) PDK,2021,Targa,3.5,307,161,2981,91,76.4,1685,67,4533,1852,1299,2450,All wheel drive (4x4),,8.3,,,0.32,3.5,284.9,3,338.3,480,6500,570,3650
911 Targa (992),4 GTS 3.0 (480 Hp),2021,Targa,4.3,307,161,2981,91,76.4,1650,67,4533,1852,1301,2450,All wheel drive (4x4),,8.3,,,0.32,3.4,290.9,2.9,345.5,480,6500,570,3650
911 Targa (992),4 3.0 (385 Hp) PDK,2020,Targa,4.4,289,129.2,2981,91,76.4,1665,67,4519,1852,1297,2450,All wheel drive (4x4),10.2,8.3,1591,1557,0.29,4.3,231.2,3.7,270.3,385,6500,450,3475
911 Speedster (991 II),4.0 (510 Hp),2019,Roadster,4,310,127.6,3996,102,81.5,1465,64,4562,1852,1250,2457,Rear wheel drive,,,1551,1555,0.35,2.9,348.1,3.1,320.8,510,8400,470,6250
911 Cabriolet (992),Turbo S 3.8 (650 Hp) PDK,2020,Cabriolet,2.8,330,173.6,3745,102,76.4,1710,67,4535,1900,1301,2450,All wheel drive (4x4),,8.3,1583,1600,0.33,2.6,380.1,2.1,467.8,650,6750,800,3250
911 Cabriolet (992),Turbo 3.8 (580 Hp) PDK,2020,Cabriolet,2.9,320,154.9,3745,102,76.4,1710,67,4535,1900,1302,2450,All wheel drive (4x4),8.7,8.3,1583,1600,0.33,2.9,339.2,2.3,438.6,580,6500,750,3375
911 Cabriolet (992),Carrera GTS 3.0 (480 Hp) PDK,2021,Cabriolet,3.6,309,161,2981,91,76.4,1615,64,4533,1852,1300,2450,Rear wheel drive,,8,,,0.31,3.4,297.2,2.8,352.9,480,6500,570,3650
